"Input","Output","Style","Quality"
"Sneha and her friends went on a road trip to Rishikesh and enjoyed river rafting","Sneha and her friends embarked on a road trip to Rishikesh and participated in river rafting activities.",formal,good
"Sneha and her friends went on a road trip to Rishikesh and enjoyed river rafting","Sneha and her friends hit the road to Rishikesh and had an exciting time river rafting.",expressive,good
"Sneha and her friends went on a road trip to Rishikesh and enjoyed river rafting","Sneha and her friends drove to Rishikesh and had fun doing river rafting.",casual,good
"Karan traveled to Goa alone to take a break and clear his mind","Karan traveled to Goa independently to take a break and rejuvenate his mind.",formal,good
"Karan traveled to Goa alone to take a break and clear his mind","Karan set off alone to Goa, hoping to relax and clear his thoughts.",expressive,good
"Karan traveled to Goa alone to take a break and clear his mind","Karan went to Goa alone to relax and clear his head.",casual,good
"Megha booked a last-minute flight to Bangalore for an important meeting","Megha reserved a last-minute flight to Bangalore to attend an important meeting.",formal,good
"Megha booked a last-minute flight to Bangalore for an important meeting","With little time to spare, Megha quickly booked a flight to Bangalore for a crucial meeting.",expressive,good
"Megha booked a last-minute flight to Bangalore for an important meeting","Megha booked a last-minute flight to Bangalore for a meeting.",casual,good
"Rohit and Neha explored the streets of Paris and tried different local cuisines","Rohit and Neha explored the streets of Paris and sampled a variety of local cuisines.",formal,good
"Rohit and Neha explored the streets of Paris and tried different local cuisines","Rohit and Neha wandered through Paris, enjoying its streets and tasting delicious local dishes.",expressive,good
"Rohit and Neha explored the streets of Paris and tried different local cuisines","Rohit and Neha walked around Paris and tried local food.",casual,good
"Ankit visited Shimla during snowfall and captured beautiful photographs","Ankit visited Shimla during snowfall and captured visually appealing photographs.",formal,good
"Ankit visited Shimla during snowfall and captured beautiful photographs","While snow fell around him in Shimla, Ankit captured some truly beautiful moments on camera.",expressive,good
"Ankit visited Shimla during snowfall and captured beautiful photographs","Ankit went to Shimla in the snow and took nice photos.",casual,good
"Pooja planned a solo backpacking trip across Himachal Pradesh","Pooja organized a solo backpacking journey across Himachal Pradesh.",formal,good
"Pooja planned a solo backpacking trip across Himachal Pradesh","Pooja set out on an adventurous solo backpacking trip through Himachal Pradesh.",expressive,good
"Pooja planned a solo backpacking trip across Himachal Pradesh","Pooja planned a solo backpacking trip in Himachal.",casual,good
"Vikram and his family went to Agra to see the Taj Mahal for the first time","Vikram and his family traveled to Agra to visit the Taj Mahal for the first time.",formal,good
"Vikram and his family went to Agra to see the Taj Mahal for the first time","Vikram and his family experienced the beauty of the Taj Mahal in Agra for the very first time.",expressive,good
"Vikram and his family went to Agra to see the Taj Mahal for the first time","Vikram and his family went to Agra to see the Taj Mahal for the first time.",casual,good
"Riya asked Aarav if they should leave early for the airport to avoid traffic","Riya inquired whether they should depart early for the airport to avoid traffic congestion.",formal,good
"Riya asked Aarav if they should leave early for the airport to avoid traffic","Riya suggested to Aarav that they leave early for the airport so they wouldn’t get stuck in traffic.",expressive,good
"Riya asked Aarav if they should leave early for the airport to avoid traffic","Riya asked Aarav if they should go early to avoid traffic.",casual,good
"Kabir told Ananya that the hotel they booked had an amazing mountain view","Kabir informed Ananya that the hotel they reserved offered an excellent view of the mountains.",formal,good
"Kabir told Ananya that the hotel they booked had an amazing mountain view","Kabir excitedly told Ananya that their hotel had a stunning view of the mountains.",expressive,good
"Kabir told Ananya that the hotel they booked had an amazing mountain view","Kabir told Ananya their hotel had a great mountain view.",casual,good
"Neha asked Rohit if he had packed everything for the Goa trip","Neha asked Rohit whether he had completed packing for their trip to Goa.",formal,good
"Neha asked Rohit if he had packed everything for the Goa trip","Neha checked with Rohit to make sure he had packed everything for their Goa trip.",expressive,good
"Neha asked Rohit if he had packed everything for the Goa trip","Neha asked Rohit if he packed everything for Goa.",casual,good
"Aman told Rahul that they might miss the train if they didn’t leave immediately","Aman informed Rahul that they could miss the train if they did not leave immediately.",formal,good
"Aman told Rahul that they might miss the train if they didn’t leave immediately","Aman warned Rahul that they would miss the train unless they left right away.",expressive,good
"Aman told Rahul that they might miss the train if they didn’t leave immediately","Aman told Rahul they might miss the train if they don’t leave now.",casual,good
"Sneha asked Pooja and Meera if they wanted to try the local street food","Sneha asked Pooja and Meera whether they would like to try the local street food.",formal,good
"Sneha asked Pooja and Meera if they wanted to try the local street food","Sneha excitedly asked Pooja and Meera if they were up for trying the local street food.",expressive,good
"Sneha asked Pooja and Meera if they wanted to try the local street food","Sneha asked Pooja and Meera if they wanted to try street food.",casual,good
"Arjun told Karan and Vivek that the trek was more difficult than they had expected","Arjun informed Karan and Vivek that the trek was more challenging than they had anticipated.",formal,good
"Arjun told Karan and Vivek that the trek was more difficult than they had expected","Arjun shared with Karan and Vivek that the trek turned out to be tougher than they had imagined.",expressive,good
"Arjun told Karan and Vivek that the trek was more difficult than they had expected","Arjun told Karan and Vivek the trek was harder than they thought.",casual,good
"Megha asked Rohan if he had checked the weather forecast before the trip","Megha asked Rohan whether he had reviewed the weather forecast prior to the trip.",formal,good
"Megha asked Rohan if he had checked the weather forecast before the trip","Megha reminded Rohan to check if he had looked at the weather forecast before their trip.",expressive,good
"Megha asked Rohan if he had checked the weather forecast before the trip","Megha asked Rohan if he checked the weather before the trip.",casual,good
"Vikram told his friends that they should visit the museum before it closed","Vikram suggested to his friends that they should visit the museum before it closed.",formal,good
"Vikram told his friends that they should visit the museum before it closed","Vikram encouraged his friends to visit the museum before it shut for the day.",expressive,good
"Vikram told his friends that they should visit the museum before it closed","Vikram told his friends to go to the museum before it closed.",casual,good
"Ankit asked Priya and Rahul if they had booked the tickets for the return journey","Ankit asked Priya and Rahul whether they had booked the tickets for their return journey.",formal,good
"Ankit asked Priya and Rahul if they had booked the tickets for the return journey","Ankit checked with Priya and Rahul to see if they had arranged tickets for the return trip.",expressive,good
"Ankit asked Priya and Rahul if they had booked the tickets for the return journey","Ankit asked Priya and Rahul if they booked return tickets.",casual,good
"Rohit told Neha and Simran that the sunset at the beach was worth the wait","Rohit told Neha and Simran that the sunset at the beach was truly worth the wait.",formal,good
"Rohit told Neha and Simran that the sunset at the beach was worth the wait","Rohit shared with Neha and Simran that the beach sunset was absolutely worth waiting for.",expressive,good
"Rohit told Neha and Simran that the sunset at the beach was worth the wait","Rohit told Neha and Simran the sunset at the beach was worth it.",casual,good
"Although Rahul had already planned everything in advance, the sudden change in weather forced him to reconsider the entire trip","Although Rahul had meticulously planned everything beforehand, the unexpected change in weather compelled him to reconsider the entire trip.",formal,good
"Although Rahul had already planned everything in advance, the sudden change in weather forced him to reconsider the entire trip","Even with careful planning, Rahul had to rethink his entire trip when the weather suddenly changed.",expressive,good
"Although Rahul had already planned everything in advance, the sudden change in weather forced him to reconsider the entire trip","Rahul planned everything, but bad weather made him rethink the trip.",casual,good
"Despite knowing that the decision might upset his team, Arjun chose to move forward with the new strategy","Despite being aware that the decision might upset his team, Arjun proceeded with the new strategy.",formal,good
"Despite knowing that the decision might upset his team, Arjun chose to move forward with the new strategy","Even though Arjun knew his decision might upset the team, he still decided to move ahead with the new plan.",expressive,good
"Despite knowing that the decision might upset his team, Arjun chose to move forward with the new strategy","Arjun knew his team might not like it, but he still went ahead with the plan.",casual,good
"She continued to smile during the conversation, even though she was deeply disappointed by the outcome","She maintained a smile throughout the conversation despite feeling deeply disappointed by the outcome.",formal,good
"She continued to smile during the conversation, even though she was deeply disappointed by the outcome","Even though she was truly disappointed, she kept smiling during the conversation.",expressive,good
"She continued to smile during the conversation, even though she was deeply disappointed by the outcome","She was disappointed but still kept smiling while talking.",casual,good
"While the journey was exhausting and filled with unexpected delays, the experience turned out to be incredibly rewarding","Although the journey was exhausting and marked by unforeseen delays, the experience proved to be highly rewarding.",formal,good
"While the journey was exhausting and filled with unexpected delays, the experience turned out to be incredibly rewarding","The journey was tiring and full of delays, but it turned out to be an incredibly rewarding experience.",expressive,good
"While the journey was exhausting and filled with unexpected delays, the experience turned out to be incredibly rewarding","The trip was tiring and delayed, but it was totally worth it.",casual,good
"He realized that waiting for the perfect moment was only holding him back from making real progress","He realized that waiting for the ideal moment was hindering his ability to make meaningful progress.",formal,good
"He realized that waiting for the perfect moment was only holding him back from making real progress","He understood that waiting for the perfect time was stopping him from moving forward.",expressive,good
"He realized that waiting for the perfect moment was only holding him back from making real progress","He realized waiting too long was stopping his progress.",casual,good
"Even after multiple failures, Neha refused to give up because she believed in her long-term goal","Despite experiencing multiple failures, Neha remained determined due to her belief in her long-term goal.",formal,good
"Even after multiple failures, Neha refused to give up because she believed in her long-term goal","Neha didn’t give up even after many failures because she believed in her bigger goal.",expressive,good
"Even after multiple failures, Neha refused to give up because she believed in her long-term goal","Neha failed many times but still didn’t give up.",casual,good
"The project seemed simple at first, but as they moved forward, they discovered multiple hidden challenges","Although the project initially appeared simple, they encountered several hidden challenges as they progressed.",formal,good
"The project seemed simple at first, but as they moved forward, they discovered multiple hidden challenges","The project looked easy at first, but they found many hidden problems along the way.",expressive,good
"The project seemed simple at first, but as they moved forward, they discovered multiple hidden challenges","The project seemed easy, but it had many hidden issues.",casual,good
"Rohit decided to take responsibility for the mistake, even though it wasn’t entirely his fault","Rohit chose to take responsibility for the mistake despite it not being entirely his fault.",formal,good
"Rohit decided to take responsibility for the mistake, even though it wasn’t entirely his fault","Even though it wasn’t fully his fault, Rohit stepped up and took responsibility.",expressive,good
"Rohit decided to take responsibility for the mistake, even though it wasn’t entirely his fault","Rohit took the blame even though it wasn’t all his fault.",casual,good
"The more he tried to control the situation, the more things seemed to fall apart around him","The more he attempted to control the situation, the more everything around him deteriorated.",formal,good
"The more he tried to control the situation, the more things seemed to fall apart around him","The harder he tried to control things, the more everything seemed to fall apart.",expressive,good
"The more he tried to control the situation, the more things seemed to fall apart around him","The more he tried to control things, the more everything went wrong.",casual,good
"She didn’t expect things to change so quickly, but she adapted faster than she had imagined","She did not anticipate such rapid changes, yet she adapted more quickly than expected.",formal,good
"She didn’t expect things to change so quickly, but she adapted faster than she had imagined","She didn’t expect things to change so fast, but she adjusted quicker than she thought.",expressive,good
"She didn’t expect things to change so quickly, but she adapted faster than she had imagined","Things changed fast, but she handled it quickly.",casual,good
"Instead of reacting emotionally, Karan chose to stay calm and think through the situation carefully","Rather than reacting emotionally, Karan chose to remain composed and analyze the situation carefully.",formal,good
"Instead of reacting emotionally, Karan chose to stay calm and think through the situation carefully","Karan stayed calm and thought things through instead of reacting emotionally.",expressive,good
"Instead of reacting emotionally, Karan chose to stay calm and think through the situation carefully","Karan stayed calm instead of reacting emotionally.",casual,good
"Even though they had limited resources, the team managed to deliver results beyond expectations","Despite having limited resources, the team successfully exceeded expectations.",formal,good
"Even though they had limited resources, the team managed to deliver results beyond expectations","Even with limited resources, the team delivered results beyond what was expected.",expressive,good
"Even though they had limited resources, the team managed to deliver results beyond expectations","The team had less resources but still did great work.",casual,good
"He kept pushing forward, not because it was easy, but because he knew it would be worth it in the end","He continued to persevere not due to ease, but because he believed the outcome would be worthwhile.",formal,good
"He kept pushing forward, not because it was easy, but because he knew it would be worth it in the end","He kept going, not because it was easy, but because he knew it would be worth it.",expressive,good
"He kept pushing forward, not because it was easy, but because he knew it would be worth it in the end","He kept going because he knew it would be worth it.",casual,good
"Although the feedback was harsh, she used it as motivation to improve rather than getting discouraged","Although the feedback was severe, she used it as motivation for improvement rather than becoming discouraged.",formal,good
"Although the feedback was harsh, she used it as motivation to improve rather than getting discouraged","Even though the feedback was tough, she used it to push herself to improve.",expressive,good
"Although the feedback was harsh, she used it as motivation to improve rather than getting discouraged","She got harsh feedback but used it to improve.",casual,good
"They initially disagreed on the approach, but eventually found a solution that worked for everyone","Although they initially disagreed on the approach, they ultimately found a solution that worked for everyone.",formal,good
"They initially disagreed on the approach, but eventually found a solution that worked for everyone","They didn’t agree at first, but eventually found a solution that worked for everyone.",expressive,good
"They initially disagreed on the approach, but eventually found a solution that worked for everyone","They argued at first but later found a solution.",casual,good
"She had to make a difficult choice between stability and pursuing something she was truly passionate about","She faced a difficult decision between maintaining stability and pursuing her true passion.",formal,good
"She had to make a difficult choice between stability and pursuing something she was truly passionate about","She had to choose between staying stable and following what she truly loved.",expressive,good
"She had to make a difficult choice between stability and pursuing something she was truly passionate about","She had to choose between a safe option and her passion.",casual,good
"The moment he stepped outside his comfort zone, he realized how much he had been limiting himself","Upon stepping outside his comfort zone, he realized the extent to which he had been limiting himself.",formal,good
"The moment he stepped outside his comfort zone, he realized how much he had been limiting himself","As soon as he stepped out of his comfort zone, he realized how much he had been holding himself back.",expressive,good
"The moment he stepped outside his comfort zone, he realized how much he had been limiting himself","He realized he was limiting himself when he stepped out of his comfort zone.",casual,good
"Even though the outcome was uncertain, they decided to take the risk and move forward with confidence","Despite the uncertain outcome, they chose to take the risk and proceed with confidence.",formal,good
"Even though the outcome was uncertain, they decided to take the risk and move forward with confidence","Even though they weren’t sure about the result, they took the risk and moved forward confidently.",expressive,good
"Even though the outcome was uncertain, they decided to take the risk and move forward with confidence","They weren’t sure about the result but still took the risk.",casual,good
"He learned that success was not about avoiding failure, but about growing through every mistake","He learned that success is not about avoiding failure but about growing from each mistake.",formal,good
"He learned that success was not about avoiding failure, but about growing through every mistake","He realized success isn’t about avoiding failure, but about learning from mistakes.",expressive,good
"He learned that success was not about avoiding failure, but about growing through every mistake","He learned success comes from mistakes, not avoiding them.",casual,good
"While others doubted his abilities, he continued to trust himself and stayed committed to his goals","Despite others doubting his abilities, he remained confident and committed to his goals.",formal,good
"While others doubted his abilities, he continued to trust himself and stayed committed to his goals","Even though people doubted him, he trusted himself and stayed focused on his goals.",expressive,good
"While others doubted his abilities, he continued to trust himself and stayed committed to his goals","People doubted him, but he still believed in himself.",casual,good
The rapid advancement of artificial intelligence is fundamentally changing the way we work and live,The rapid advancement of artificial intelligence is fundamentally changing the way we work and live.,formal,bad
The rapid advancement of artificial intelligence is fundamentally changing the way we work and live,Artificial intelligence is a rapidly growing field and will fundamentally change the way we work and live.,expressive,good
The rapid advancement of artificial intelligence is fundamentally changing the way we work and live,Artificial Intelligence is fundamentally changing the way we work and live.,casual,good
The committee approved the new environmental policy after months of debate,The committee approved the new environmental policy after months of debate.,formal,bad
The committee approved the new environmental policy after months of debate,The committee agreed on the new environmental policy after months of debate.,expressive,unrated
The committee approved the new environmental policy after months of debate,The new environmental policy was approved after months of debate.,casual,good
"Although the research was conducted under strict laboratory conditions, the results still showed significant variations in data that suggest a need for further study","Although the research was conducted under strict laboratory conditions, the results showed a need for further study.",formal,unrated
"Although the research was conducted under strict laboratory conditions, the results still showed significant variations in data that suggest a need for further study","Although the research was done under strict laboratory conditions, the results still showed significant variations in data.",expressive,unrated
"Although the research was conducted under strict laboratory conditions, the results still showed significant variations in data that suggest a need for further study","Although the research was done under strict conditions, there were still some significant deviations in data that suggest a need for more study.",casual,unrated
